id,title,source,url,published_at,image_url
2,"War in Gaza is 'going to be long,' Israeli leader Netanyahu says: Live updates",CNN,https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-10-29-23/index.html,1698579585000,https://lh3.googleusercontent.com/proxy/5v1WS8y5cxTwiuEuapn9PKC3Od71U7NoBMHRlusnCUu2xMnlXBUr4VxTL9k6oA1UMWRaLxuSzYpVSz9-hrelC6zOz1H7yGb_RTSyN1TszZLTvdPmkLnzQ1_AgXSAZ2kC4MRacbhBE0ldEG9ui8Uy0amfzHGvuWLaypqnC-qyjIMtCfKOmnXkb16LlxGlNtECdVan_7tIlTFs-krXWUkPVVk
3,"Mike Pence Drops Out of 2024 Presidential Race","The New York Times",https://www.nytimes.com/2023/10/28/us/politics/pence-drops-out-2024.html,1698560640000,https://lh6.googleusercontent.com/proxy/3A5Psc6GR-ms4_vaK16wWmIMjVee4NrS8t1oS5p0S2ESl6g7iqSvBv6qRPCV7S5qzGuxYXAWAUntTdpserRaQwYj-LQl1XN3mhVLcoVbFYxjkCc0rHh6_884Biz-dmdoaodg_XbQGkXJvQNDVVZVnLDk-FuJqAYy4jxCKskAh72dX_m3h-HjNyDh9l_AkxZhM16U-KUeeZMObePmoJYwvzjaoVOZ14u8JI_CoMf9sMEW
4,"Maine shooting suspect found dead in cargo trailer, motive still a mystery",Reuters,https://www.reuters.com/world/us/us-army-reservist-suspected-lewiston-maine-shootings-found-dead-likely-suicide-2023-10-28/,1698548700000,https://lh3.googleusercontent.com/proxy/ZscR0hgoCIAVVPR6rjYRm3QJphzfDZ8cOfiobWVP-MmUWDQIsWr9y20IM1zmD_RuZX_CsOQGuULi0EQhBbAW-05HjAEJ6ZGx1vMizS0FewZz6-gHKy1gIzaeyGIB0MAEuoaQVH2CyOCxc1WZq8O_zOB7rarPTHPp7qmV9ybxsx6qwPOawaB4_hYD5EXG1aWJ8ZG5TYAmDjafl-ZTiw97z7bCQhh8CKa50he3ZU22VhEf-lR9R49j9dvrMJagKBIRHjw1uis5BYY
5,"Gazans break into aid centres, taking flour and supplies, UN says",Reuters,https://www.reuters.com/world/middle-east/gazans-break-into-aid-centres-taking-flour-supplies-un-says-2023-10-29/,1698571860000,https://lh4.googleusercontent.com/proxy/DZveYCIyqU3CMclVAgsZc4R-D2efaogX5MuBvknEYd4qXExX3ec5O66Y6zL-ix763QxIry-wpvAenlvUjmIQZNlVTZ24Ex7rSL8kWFg-pOzCvr2Gt3yD5N2LroSz3CTzmIgZWJUfdYt8Zqbi_x_F3vtlxBOt7Ys
6,"Police were alerted just last month about Maine shooter’s threats: ‘We couldn’t locate him.’","NewsNation Now",https://www.newsnationnow.com/us-news/northeast/maine-shootings-police-were-alerted/,1698536419000,https://lh5.googleusercontent.com/proxy/51rkOKSBPAnNgpko6D-ZIfM23IGoNAzW5bDXP5ZXLTCuuHcUflj7-Hsam83bzKFxC5Ra-8Nh5SUeg1v2GRwUJfihInxzOxQDaG0gEyP7r_6inz_ALFArbXChwIh0ROtGi0clbEv-hEwIk4qHvWFawQ8S1V4NQH4P5f0
7,"7,000 pro-Palestinian protesters take over Brooklyn Bridge, call for elimination of Jewish state: 'By any means'","New York Post ",https://nypost.com/2023/10/28/metro/9k-pro-palestinian-protestors-take-over-brooklyn-bridge-call-for-elimination-of-jewish-state-by-any-means/,1698560550000,https://lh4.googleusercontent.com/proxy/Kvm9DuQnnu7Jppj8IzDmtel2pxfEONmGCD5HqRiFf82jJMhU-8g8emXWcOOSJ6Hz6veuR81wr3H8v4QYdKBwAdZ0ROEkfPq_Crj6xeKhK9UpZM5vknEqBCHW6yr0B3TKxR1pLZw5pTCgDNFQvVo_ww6j87vVG6HuKgG5SfvPzNCO_kQBF_FmZwDzI3r6-vRrj5_kve0GDLJQttp3dbPa-Dh7EFrVuA
8,"Hurricane Otis death toll rises to 39 in Mexico",CNN,https://www.cnn.com/2023/10/28/weather/hurricane-otis-death-toll-mexico/index.html,1698531060000,https://lh6.googleusercontent.com/proxy/aBp3NlvB5LmcSrFndWeuoVtAoi5_ZeU7po55eXY4nOlEFPWX1yqfXvkc80RPDkRQ9hGA1SFFziEzo4S-uStYOal4z_UbOrAZoOM8hWejvKzh1f2_z9nLT48jt1UjzJSGxhhAGU9QC-czUTHOr8-8s4I7NGz3SPVYoPJhVb-rocnhcKJ5jMXU83HpaZJ0vIDq
9,"China's foreign minister suggests road to Xi-Biden summit will not be smooth",Reuters.com,https://www.reuters.com/world/chinas-foreign-minister-says-road-san-francisco-summit-will-not-be-smooth-2023-10-29/,1698549898000,https://lh4.googleusercontent.com/proxy/StytT07vWnRry2Kr9Fq01FAUGJRXmHCeXXJVKMRJektZb3dwl_vPPMws0ng2YBF9KhyE2AjyENKY7cAmSq8W95bYVpHV9SBazCmnjSNVl04EaTmOYFKf9MiV_1nJ2ZpG1cFiwBK0i3cAZsgF3u3-4HI6tVsIkN0
10,"G7 calls for immediate repeal of bans on Japanese food, pressing China",Reuters.com,https://www.reuters.com/world/g7-calls-immediate-repeal-bans-japanese-food-pressing-china-2023-10-29/,1698573000000,https://lh4.googleusercontent.com/proxy/WPIuHmM3GQ9gEGe9QTy_rN-kcB_f4xK3oVooVohGpo_AYqi7xYI29uoFewmKpwbhbOkYcKdxJiZGM4IAMNkHBlnNy_K2_kpuqIFhk8Z3Jjxpqg9wXzVRi-T1FXo7gAbKkXcrBvjVcR9OABn1X6vJ8ugB4SGBPjs
11,"Israel withdraws diplomats from Turkey after ‘harsh’ rebuke from Erdogan","The Hill",https://thehill.com/policy/international/4281295-israel-withdraws-diplomats-from-turkey/,1698527400000,https://lh4.googleusercontent.com/proxy/6SKmvpJ3IJO3zA0nhROQBKS6EvfKlNZ3lEeWyospivziBF9vLbwhI6Fg0NPrizcuKRl10CjucXUP65J052VfPw6Wxr4sajJkdhaU7bmo7PEPzN551beZpXTnOL9QdrxvcGSUIeWY16gulw6jgT1IkquaIQMjAXnuSCfW6tU
12,"Multiple people shot overnight outside Ybor City nightclub; 2 dead, 19 hurt","Bay News 9",https://baynews9.com/fl/tampa/news/2023/10/29/multiple-people-shot-overnight-outside-ybor-city-nightclub,1698580476000,https://lh4.googleusercontent.com/proxy/3xBcPCqNmn6PgJDYXwU_G673ThHHmKNcP0JI0EmaitH0p4t7SnhJ5NgnbQ6GdG2n2E8UdLMVJ7i0-4mQFx8Duxn7ScK68BGeqW1neU2AqrcE1tAmqqZWTtEEpoQNW9rENoFGEbWprXTr53_gWo2WsKifRX8L7aCxIKYgzg
13,"Musk offers Starlink internet for ‘recognized’ aid organizations in Gaza","The Times of Israel",https://www.timesofisrael.com/musk-offers-starlink-internet-for-recognized-aid-organizations-in-gaza/,1698541184000,https://lh3.googleusercontent.com/proxy/Q8bfGgjrwHfF7SPMF_VLEfzfkPuMRUBbbbNw9rXCDB-77VTn-4V0MGSh32tqu719Fei6OI1WVWx3AB8COuqdsZBnUWDZ6hPlIvmH4nd49YuVTo7YAMeim68NGT1BCeCBAYeN2270Uey9ld1zo34kSywf
14,"Benjamin Netanyahu vows to 'save our country' as Israel battles 'barbarians' in Gaza","New York Post ",https://nypost.com/2023/10/28/news/benjamin-netanyahu-vows-to-save-israel-as-it-battles-in-gaza/,1698521520000,https://lh6.googleusercontent.com/proxy/EhdlVUIxQ92xupFFLfQKVSFlm9BTKJFj2zH0YtwbGSLbuWXiJW3z4RqGXSW0-S1VLkJNK4IZ7AZdHzi31VX64J14qwv6NCB93fS9Serh4rOQHHIXSmMrUbCewfWDe34-ni2fCdts2TYCbe7cXEZboRSxIVlK5TS-03JIZuRIu5Ek_7jWfHCJ-GAW9ZJ_ux3KgGLA-dhEQQ_5Q9s1fTgSbpivAtr3dQ
15,"Biden, absent from the NH primary ballot, to benefit from write-in efforts","ABC News",https://abcnews.go.com/Politics/biden-absent-nh-primary-ballot-benefit-write-efforts/story?id=104352314,1698522116000,https://lh4.googleusercontent.com/proxy/Al2MSJByyv9m9Zixv-WJyT-VoMsMvCaez5FqY_77GNEtJiK8GMSyCigeunQAV77gCHCTpab-Suf3RwfcXHWMGlPeR2oz1Fr4x9u43A4ZXAa1GOCQY458fP_Peya3txAGwH1u73l_X_p3MynNYn_BgjjIIRRf2tWkvpF1GRAbk2ZVRa0HtPETv-cPJeUoCg
16,"What we’re learning about House Speaker Mike Johnson and his demands for government funding",CNN,https://www.cnn.com/2023/10/28/politics/what-were-about-to-learn-about-house-speaker-mike-johnson/index.html,1698539220000,https://lh6.googleusercontent.com/proxy/-pLqvnQ288dehrhyrXkq_9k4qfZ0DFa7yp_DTEs0g7NgQqUrttFvh2GxpdCf8EqzWCcdbT1v90ZgDcZZuGP4VMbYH2wlBwvG2JqP8BvM6wITTwvxp0TOM7dpBFsweQffOiJTmTOAhLYQnpid7vhMNR38AtuzYzVWHWhVb74T5onjyYA51m_Ov3Kh9iBozL2XHLY
17,"Teenage Iranian girl Armita Geravand dies weeks after train incident","Al Jazeera English",https://www.aljazeera.com/news/2023/10/28/teenage-iranian-girl-armita-geravand-dies-weeks-after-train-incident,1698517932000,https://lh6.googleusercontent.com/proxy/MJi7vpu1JcVm5DwhmEy6pc7qpiGrgz5hxdA4FicrlMUkY5n7aHmCU7t4oEn9P5nsMHxmWYZ6s3vH88mvOZpRUSbhmAcpLCIlt3B1Y5Mn016qGJlgYoLP3M4dRccTVppGzs0rtGi6t67Kcz9hh8e25YUBVD-35FS4WBuKLa7pi1kNxQ
18,"'Friends' Star Matthew Perry Dead at 54 After Apparent Drowning",TMZ,https://www.tmz.com/2023/10/28/friends-star-matthew-perry-dead-dies-drowning/,1698541800000,https://lh6.googleusercontent.com/proxy/uePUTnhHZDrfwztOuSntlj2QwxAt8ZbDsIEaUCWUx6ixmkF1O_KbaFnl_GQewh0re591KZqZQKijYcdSP4m-1NRMI1gM3BS8CjRx-Bqt8hGXTaxXcGgdKMSCkvyQa6DGl6BFPZJI0gWL9_xMZG02UkgX
19,"How to Get Donald Trump to Obey Gag Order: Michael Cohen",Newsweek,https://www.newsweek.com/how-get-donald-trump-obey-gag-order-michael-cohen-1838843,1698537233000,https://lh4.googleusercontent.com/proxy/Djr6R-gBMAdvZU8-eYv0lAzyLirUzPyz2PrK2-3PXU2-JPempwByrzB4ROfy0HpC0GngNFDb5nQIFviah-0h5arKOYWAFEZ5MXfcsmoDnxN12WMdZ7x_XWDJr97XKRDcwWj5KYMot735br4fsLo_bd7iIHzSqo7Rqr-lrQ
